TIME,TEMPERATURE,WIND_SPEED,WIND_DIRECTION
2000051012,15.6,2.5,153.4
2000051018,15.6,1.9,218.2
2000051100,12.8,0.4,339.1
2000051106,14.7,1.5,285
2000051112,18.3,2.2,185.7
2000051118,15.9,1.3,308.2
2000051200,11.8,0.9,295.6
2000051206,14.9,0.9,21.1
2000051212,18.8,4.1,149.8
2000051218,15.4,2.3,130.1
2000051300,13.4,0.5,2.8
2000051306,15,0.8,83.7
2000051312,14.7,1.3,171.8
2000051318,13.1,0.6,20.3
2000051400,11,0.6,322.3
2000051406,14.1,0.8,22.6
2000051412,18.3,3.1,100
2000051418,15,1.1,33.2
2000051500,13.2,0.6,328.3
2000051506,16.2,1,7
2000051512,19.3,3.4,163.3
2000051518,16.6,1.6,151.1
2000051600,14.4,0.9,307.7
2000051606,15.9,0.8,313.3
2000051612,16.9,2.2,153.4
2000051618,15.6,1.2,87.2
2000051700,14.4,0.7,359.5
2000051706,15.6,1.2,29.8
2000051712,17.8,3.5,70
2000051718,14.6,1,45.5
2000051800,10.9,0.6,339.1
2000051806,14.8,0.6,183.1
2000051812,18.8,2.4,160
2000051818,15.7,1.1,173.1
2000051900,13.5,0.7,350.5
2000051906,16.1,1.6,152.6
2000051912,22.6,3.6,187.5
2000051918,19.2,2.2,248
2000052000,16,0.7,307
2000052006,19.3,0.9,354.3
2000052012,20.8,3,97.8
2000052018,15.8,1.3,66.6
2000052100,12.7,0.6,334
2000052106,16.2,1.2,238.2
2000052112,22.2,3.7,153.2
2000052118,18.3,1.7,90
2000052200,15.7,0.3,14.3
2000052206,21.3,2.3,190
2000052212,28.6,4.2,256.6
2000052218,22.7,1,98.3
2000052300,19.3,0.6,345.1
2000052306,22.1,0.5,72.9
2000052312,27.9,2.3,145
2000052318,23.8,0.5,70.8
2000052400,19.2,0.5,359.4
2000052406,24.2,2,19.3
2000052412,28.5,3.2,148.5
2000052418,23.1,0.9,92.4
2000052500,17.9,0.7,335.5
2000052506,23.6,0.6,248.9
2000052512,29.1,3.1,153.4
2000052518,23.6,1.8,108.5
2000052600,19.8,0.7,343.5
2000052606,21.8,0.7,271.1
2000052612,24.9,2.9,244.2
2000052618,19.1,2.8,209.2
2000052700,17.7,2,170
2000052706,18.8,1.6,225.7
2000052712,24.9,4.1,243.4
2000052718,21.2,2.8,243.4
2000052800,19.8,1.1,315.1
2000052806,22.1,3.8,273.4
2000052812,25.5,5,313.4
2000052818,21.9,2.5,350.2
2000052900,17,0.7,316.3
2000052906,21.6,1.4,274.5
2000052912,28.4,2.7,195
2000052918,23.5,1.4,291.2
2000053000,17.8,0.3,338.1
2000053006,19,0.3,323
2000053012,24,2.7,242.1
2000053018,20,2.8,260
2000053100,15.1,1,323.5
2000053106,16.1,0.5,332.7
2000053112,21,1.2,145.9
2000053118,19.5,0.8,23.6
2000060100,17.1,0.4,340
2000060106,19.6,1.5,119.4
2000060112,21.6,2.5,103.9
2000060118,17.6,1.4,45.9
2000060200,16.2,0.9,331.3
2000060206,17.9,0.6,212.4
2000060212,21.7,1.9,141.8
2000060218,18.8,1.7,122.3
2000060300,17.7,0.9,47.3
2000060306,18.4,1.6,68.6
2000060312,20.6,3,76.6
2000060318,18.3,1.9,51.1
2000060400,16.9,0.9,11.5
2000060406,18.5,2.4,87
2000060412,25.8,2,110.9
2000060418,21.4,1.5,291.4
2000060500,15.8,0.4,323.1
2000060506,20.1,1.2,249.6
2000060512,25.3,3.2,160
2000060518,20.5,1.4,95
2000060600,16.6,0.7,317.6
2000060606,23.3,1.3,318.1
2000060612,29.9,2.3,92.3
2000060618,25.9,1.3,346.3
2000060700,21,1.7,308.2
2000060706,24.4,1,23.1
2000060712,29.5,3.1,110.2
2000060718,25.6,2,307.6
2000060800,21.7,1.3,319.1
2000060806,22.6,1.9,254.8
2000060812,24.9,4.2,221.5
2000060818,18.7,1.8,300.8
2000060900,17.3,1.7,23.2
2000060906,17.9,1.7,38.6
2000060912,19.3,3.7,90
2000060918,16.7,1.8,47.4
2000061000,15.3,0.5,353.4
2000061006,17.1,0.8,74.2
2000061012,18.1,2.1,104.7
2000061018,17.5,0.9,45
2000061100,16.8,0.5,28.1
2000061106,18.2,1.2,44.7
2000061112,20.3,3.8,76.8
2000061118,18.1,2.3,73.4
2000061200,16.3,1.1,38.4
2000061206,17.8,2.5,73.4
2000061212,20.9,3.7,93.3
2000061218,17,1.8,59.6
2000061300,13.4,0.8,325
2000061306,18.2,1,240
2000061312,24.1,4.2,138.4
2000061318,20.3,1,50.2
2000061400,19.5,0.6,326.9
2000061406,23.4,1.3,341.6
2000061412,25.6,3.5,201.6
2000061418,22.7,1.3,80
2000061500,19.8,0.2,15.2
2000061506,24.1,0.6,330.6
2000061512,28.4,2.9,75.3
2000061518,23.1,0.9,58.2
2000061600,22.1,0.4,354
2000061606,25.8,1.7,356.6
2000061612,26.7,2.9,159.1
2000061618,22.9,1.2,101.2
2000061700,20.6,0.9,52
2000061706,20.2,1.8,62.1
2000061712,25.4,2.9,113.4
2000061718,21,0.8,47.6
2000061800,17.8,1.2,43.5
2000061806,20.7,1.3,65.7
2000061812,26.1,2.1,140.3
2000061818,21,1.7,182.8
2000061900,18.1,0.4,357
2000061906,23.2,0.8,276.9
2000061912,28.3,2.9,121.6
2000061918,24.4,1.1,49.5
2000062000,22.4,0.6,345.3
2000062006,27,1.7,260
2000062012,30.6,2.5,156.7
2000062018,24.2,1.4,84.7
2000062100,22.6,1,271.9
2000062106,22.6,1.5,76.2
2000062112,25.6,3.5,103.4
2000062118,21.5,1.2,58.9
2000062200,20.4,0.6,355.4
2000062206,19.9,1.6,139.1
2000062212,20.4,0.7,43.2
2000062218,20.3,0.4,31.7
2000062300,20.3,0.5,356.4
2000062306,23.2,0.8,105
2000062312,24.5,2.2,167.2
2000062318,21.1,2.3,73.3
2000062400,20.1,1,72.5
2000062406,19.6,1.1,70.5
2000062412,20.9,1.6,69.6
2000062418,20.1,1.2,52.9
2000062500,19.6,0.4,15.5
2000062506,20.5,0.6,48.7
2000062512,23.9,1.5,149.4
2000062518,21.3,1.9,174.3
2000062600,20.1,0.2,350.3
2000062606,21,0.6,103.1
2000062612,22.3,1.9,173.5
2000062618,22.8,1.5,231.8
2000062700,23.4,1.6,239.8
2000062706,24.1,2.5,235.3
2000062712,21.6,2.2,40.1
2000062718,20.8,0.6,350.2
2000062800,19.7,0.5,13.6
2000062806,20.5,1.8,66.6
2000062812,22.9,3,90
2000062818,20.6,1,56.4
2000062900,19.2,0.6,8.2
2000062906,20.5,1.1,158.7
2000062912,24,3.9,143.3
2000062918,22.7,2.1,215
2000063000,23.2,1.5,250
2000063006,27,3.3,246.6
2000063012,28.8,3.7,250
2000063018,26.1,2.5,215
2000070100,23.8,0.8,29.7
2000070106,24.7,1.3,207.6
2000070112,27.7,2.3,274.3
2000070118,25.4,1.2,266.5
2000070200,23.6,0.6,350
2000070206,26.2,0.7,315
2000070212,30.8,3,133.8
2000070218,28.5,1.3,325
2000070300,25.1,0.8,319.8
2000070306,28.2,0.6,332.2
2000070312,31.4,3,161.4
2000070318,26.6,1.1,59.3
2000070400,24.4,0.5,350.3
2000070406,27.2,0.6,32.4
2000070412,29.7,3.2,100.2
2000070418,24.4,1.7,66.6
2000070500,21.8,0.6,14.7
2000070506,23.7,1.8,26.6
2000070512,26.2,3.7,93.3
2000070518,23,1.5,69.1
2000070600,21.9,1.2,339.7
2000070606,23.8,1.4,270
2000070612,27.4,3.3,146.6
2000070618,24.6,2.1,141.8
2000070700,22.3,1.2,96.5
2000070706,24.4,1.9,48.7
2000070712,26.1,4.2,80
2000070718,22.7,1.7,31.8
2000070800,21.6,1.5,10.2
2000070806,23.2,1.6,42.3
2000070812,23.7,2.7,86.7
2000070818,21.3,1.6,56.1
2000070900,19,0.4,6.5
2000070906,22.6,0.9,150
2000070912,27.1,3,166.8
2000070918,22.9,1.2,138.7
2000071000,19.7,0.8,325
2000071006,23.1,0.9,220.4
2000071012,28.1,2.9,191.5
2000071018,25.1,1.8,155.6
2000071100,24.4,2.8,180
2000071106,26.5,2.9,231.8
2000071112,29.8,7.2,246.7
2000071118,26.1,3.3,243.4
2000071200,24,3,263.2
2000071206,26,3.6,273.3
2000071212,31.9,4.8,263.4
2000071218,29.2,2.2,264.9
2000071300,25.9,0.8,303.8
2000071306,27.4,1.1,284.3
2000071312,32.3,2.4,237.7
2000071318,29.4,3,276.8
2000071400,25.8,1.7,305
2000071406,26.5,1.5,288.5
2000071412,26.8,3.1,250
2000071418,23.4,2.2,235.3
2000071500,23,0.9,328.7
2000071506,24.3,0.9,156.6
2000071512,25.4,2.9,243.4
2000071518,24.9,1.9,250
2000071600,23.6,0.7,36.6
2000071606,27.5,3.1,246.7
2000071612,30.1,2.7,268
2000071618,25.8,0.8,61.3
2000071700,24.5,0.9,324.4
2000071706,27.8,1.7,299.3
2000071712,31.4,1.6,75.6
2000071718,27.8,1.4,46.9
2000071800,25.3,1.1,307.7
2000071806,27.2,1.2,307.7
2000071812,31.7,2.1,272.7
2000071818,28.1,1.6,348.2
2000071900,26.3,1.2,321.5
2000071906,28.2,0.5,297.3
2000071912,30,2.3,100.7
2000071918,26.7,0.9,333.2
2000072000,25.7,0.9,4.4
2000072006,27.8,0.8,4.2
2000072012,31.5,3.2,263.4
2000072018,29.8,2,253
2000072100,27.2,1.6,278.1
2000072106,30,1.4,295
2000072112,34.4,4.1,274.4
2000072118,30.4,3,235.3
2000072200,28.1,3.3,238.1
2000072206,29.8,4.9,260
2000072212,32.2,4.4,237.2
2000072218,28.7,2.8,220.1
2000072300,27.5,4,236.6
2000072306,25,2.7,336.6
2000072312,23.7,1.4,75.1
2000072318,24.6,2.8,252.1
2000072400,19.7,1.9,308.3
2000072406,20.3,0.9,164.7
2000072412,25.9,2.3,113.2
2000072418,23.9,1.1,39.8
2000072500,22.5,0.9,340
2000072506,26.1,1.4,305
2000072512,29.1,2.3,132.6
2000072518,25.7,1.5,76.3
2000072600,22.7,0.4,10.2
2000072606,24.2,1.1,46.1
2000072612,26.6,3.8,96.6
2000072618,22.8,1.7,56.1
2000072700,20.5,0.6,329.8
2000072706,23.5,1.3,115
2000072712,28.6,2.3,94.4
2000072718,24.4,1.4,51
2000072800,22.6,0.6,338
2000072806,25,0.6,46.1
2000072812,29.1,2,165.1
2000072818,26.2,1.3,33.1
2000072900,25.9,0.3,335.9
2000072906,26.8,1.4,263.3
2000072912,29.5,3.3,176.6
2000072918,28.2,2.3,156.6
2000073000,27.2,1.9,166.4
2000073006,27.3,1.7,150
2000073012,27.1,2.5,106.5
2000073018,22.4,1.3,5.7
2000073100,22.9,2.8,66.6
2000073106,23.5,3,292.6
2000073112,25.5,1.3,61.1
2000073118,22.7,1.7,87.2
2000080100,21.1,0.8,3
2000080106,22.7,0.7,319.5
2000080112,26.9,1.6,167.4
2000080118,24.3,1.1,132.1
2000080200,21.5,0.3,342.8
2000080206,22.2,1.5,46.7
2000080212,22.3,1.5,37.1
2000080218,22.2,1,18.6
2000080300,21.9,0.4,317.1
2000080306,23,0.5,21.9
2000080312,23.1,1.8,86.6
2000080318,22.3,0.4,28.1
2000080400,21.9,1.6,59.3
2000080406,22.3,1.3,45.3
2000080412,24.4,1,54.9
2000080418,23.5,0.4,24.1
2000080500,22.4,0.1,11.4
2000080506,24.8,0.2,23.2
2000080512,31.2,2.1,164.3
2000080518,26.3,0.8,260
2000080600,23.2,0.8,328.3
2000080606,25.6,0.6,16.1
2000080612,29,2.5,111.3
2000080618,25.1,1.8,38.4
2000080700,24,0.3,25
2000080706,25.9,0.9,25.6
2000080712,28.8,2.2,80.2
2000080718,26.2,0.7,21.9
2000080800,24.3,0.4,346.9
2000080806,26.6,0.7,30.7
2000080812,28.5,2.7,117.7
2000080818,25.5,1.2,40.9
2000080900,24,0.5,336.8
2000080906,26.1,1.1,70.5
2000080912,29.2,2.7,93.3
2000080918,25.5,1.3,69.6
2000081000,23.1,0.5,343.1
2000081006,26.6,0.7,0
2000081012,31.2,3.1,156.6
2000081018,28.5,1.1,316.8
2000081100,24.5,0.6,331.9
2000081106,27.4,1,324
2000081112,32.5,2.3,51.5
2000081118,28.7,1.5,50.8
2000081200,25.2,1,299.6
2000081206,28.3,1.4,28.5
2000081212,31.5,4.6,83.4
2000081218,26.8,2,13.4
2000081300,24.6,1.4,3.3
2000081306,26.3,1.8,10.2
2000081312,28.8,3.1,70
2000081318,24.6,1.1,46.3
2000081400,21.4,0.6,346.1
2000081406,25,0.7,301.5
2000081412,30.6,3.3,146.6
2000081418,27.4,1.1,32.9
2000081500,25.3,0.6,339.1
2000081506,28.1,1.1,329.7
2000081512,31.7,2.3,112.9
2000081518,28.4,1.2,280.6
2000081600,26.1,0.7,324
2000081606,26.7,1,326.4
2000081612,26.6,2.4,184.4
2000081618,25.1,1.8,188.6
2000081700,25,0.9,303.4
2000081706,25.9,0.9,346.3
2000081712,27.7,1.8,76.6
2000081718,25.8,0.9,350
2000081800,24.6,0.6,346.2
2000081806,24.9,1,21.3
2000081812,26.3,3.4,80.2
2000081818,25.5,2.6,66.7
2000081900,24.2,0.8,0
2000081906,25.3,1.4,53.1
2000081912,27.1,2.1,66.6
2000081918,25.1,1.2,32.2
2000082000,23.8,0.9,336.7
2000082006,25.1,1,44.8
2000082012,25.6,2.6,146.7
2000082018,25.4,2.4,246.7
2000082100,24.2,3.2,263.5
2000082106,25.9,2.5,241.4
2000082112,30.5,4.7,263.4
2000082118,26.5,3.4,246.7
2000082200,24.2,2.2,273.4
2000082206,26.2,2.9,276.8
2000082212,30.4,3.2,327.6
2000082218,27,0.9,313.7
2000082300,23.4,0.6,345.1
2000082306,25.5,1,323.5
2000082312,31.6,1.7,300.9
2000082318,27.4,1.4,328.3
2000082400,24.5,0.4,351.8
2000082406,25.3,0.7,323.1
2000082412,29.1,1.5,315
2000082418,26.7,1.1,32.4
2000082500,25.4,0.6,342.4
2000082506,25.2,1.7,235.6
2000082512,26.3,2.3,225
2000082518,23.3,1.3,269.1
2000082600,22.5,0.4,16.1
2000082606,23.2,0.9,141.1
2000082612,23.9,1,120.6
2000082618,25.4,1.7,212.3
